Model Params: 25.83M
Trainable Params: 25.830M
Dataset: 1398972 train, 14131 val
Muon params: 25.82M, AdamW params: 0.01M
Epoch:[1/2](22500/174872), loss: 2.7844, logits_loss: 2.7844, aux_loss: 0.0000, lr: 0.00029725, epoch_time: 705.0min
Epoch:[1/2](23000/174872), loss: 2.9355, logits_loss: 2.9355, aux_loss: 0.0000, lr: 0.00029713, epoch_time: 701.0min
Epoch:[1/2](23500/174872), loss: 3.1346, logits_loss: 3.1346, aux_loss: 0.0000, lr: 0.00029700, epoch_time: 697.0min
Epoch:[1/2](24000/174872), loss: 3.1379, logits_loss: 3.1379, aux_loss: 0.0000, lr: 0.00029688, epoch_time: 694.0min
Epoch:[1/2](24500/174872), loss: 3.0336, logits_loss: 3.0336, aux_loss: 0.0000, lr: 0.00029674, epoch_time: 691.0min
Epoch:[1/2](25000/174872), loss: 3.2956, logits_loss: 3.2956, aux_loss: 0.0000, lr: 0.00029661, epoch_time: 688.0min
Epoch:[1/2](25500/174872), loss: 3.2778, logits_loss: 3.2778, aux_loss: 0.0000, lr: 0.00029647, epoch_time: 685.0min
Epoch:[1/2](26000/174872), loss: 2.8760, logits_loss: 2.8760, aux_loss: 0.0000, lr: 0.00029633, epoch_time: 682.0min
Epoch:[1/2](26500/174872), loss: 2.7893, logits_loss: 2.7893, aux_loss: 0.0000, lr: 0.00029619, epoch_time: 679.0min
Epoch:[1/2](27000/174872), loss: 2.9678, logits_loss: 2.9678, aux_loss: 0.0000, lr: 0.00029605, epoch_time: 676.0min
Epoch:[1/2](27500/174872), loss: 3.0567, logits_loss: 3.0567, aux_loss: 0.0000, lr: 0.00029590, epoch_time: 674.0min
Epoch:[1/2](28000/174872), loss: 2.7865, logits_loss: 2.7865, aux_loss: 0.0000, lr: 0.00029575, epoch_time: 671.0min
Epoch:[1/2](28500/174872), loss: 2.9973, logits_loss: 2.9973, aux_loss: 0.0000, lr: 0.00029560, epoch_time: 668.0min
Epoch:[1/2](29000/174872), loss: 3.1521, logits_loss: 3.1521, aux_loss: 0.0000, lr: 0.00029545, epoch_time: 665.0min
Epoch:[1/2](29500/174872), loss: 2.5924, logits_loss: 2.5924, aux_loss: 0.0000, lr: 0.00029529, epoch_time: 663.0min
Epoch:[1/2](30000/174872), loss: 2.9350, logits_loss: 2.9350, aux_loss: 0.0000, lr: 0.00029513, epoch_time: 660.0min
Epoch:[1/2](30500/174872), loss: 3.1248, logits_loss: 3.1248, aux_loss: 0.0000, lr: 0.00029497, epoch_time: 658.0min
Epoch:[1/2](31000/174872), loss: 3.0731, logits_loss: 3.0731, aux_loss: 0.0000, lr: 0.00029480, epoch_time: 654.0min
Epoch:[1/2](31500/174872), loss: 3.3743, logits_loss: 3.3743, aux_loss: 0.0000, lr: 0.00029463, epoch_time: 651.0min
Epoch:[1/2](32000/174872), loss: 3.3126, logits_loss: 3.3126, aux_loss: 0.0000, lr: 0.00029446, epoch_time: 649.0min
Epoch:[1/2](32500/174872), loss: 2.8247, logits_loss: 2.8247, aux_loss: 0.0000, lr: 0.00029429, epoch_time: 646.0min
Epoch:[1/2](33000/174872), loss: 2.9448, logits_loss: 2.9448, aux_loss: 0.0000, lr: 0.00029411, epoch_time: 644.0min
Epoch:[1/2](33500/174872), loss: 2.6993, logits_loss: 2.6993, aux_loss: 0.0000, lr: 0.00029393, epoch_time: 642.0min
Epoch:[1/2](34000/174872), loss: 2.8551, logits_loss: 2.8551, aux_loss: 0.0000, lr: 0.00029375, epoch_time: 639.0min
Epoch:[1/2](34500/174872), loss: 3.1896, logits_loss: 3.1896, aux_loss: 0.0000, lr: 0.00029357, epoch_time: 636.0min
Epoch:[1/2](35000/174872), loss: 3.2886, logits_loss: 3.2886, aux_loss: 0.0000, lr: 0.00029338, epoch_time: 633.0min
Epoch:[1/2](35500/174872), loss: 3.2439, logits_loss: 3.2439, aux_loss: 0.0000, lr: 0.00029319, epoch_time: 631.0min
Epoch:[1/2](36000/174872), loss: 3.0909, logits_loss: 3.0909, aux_loss: 0.0000, lr: 0.00029300, epoch_time: 628.0min
Epoch:[1/2](36500/174872), loss: 2.6723, logits_loss: 2.6723, aux_loss: 0.0000, lr: 0.00029281, epoch_time: 626.0min
Epoch:[1/2](37000/174872), loss: 2.7326, logits_loss: 2.7326, aux_loss: 0.0000, lr: 0.00029261, epoch_time: 622.0min
Epoch:[1/2](37500/174872), loss: 2.9573, logits_loss: 2.9573, aux_loss: 0.0000, lr: 0.00029241, epoch_time: 620.0min
Epoch:[1/2](38000/174872), loss: 3.1129, logits_loss: 3.1129, aux_loss: 0.0000, lr: 0.00029221, epoch_time: 618.0min
Epoch:[1/2](38500/174872), loss: 3.5886, logits_loss: 3.5886, aux_loss: 0.0000, lr: 0.00029201, epoch_time: 616.0min
Epoch:[1/2](39000/174872), loss: 3.0267, logits_loss: 3.0267, aux_loss: 0.0000, lr: 0.00029180, epoch_time: 613.0min
Epoch:[1/2](39500/174872), loss: 2.9798, logits_loss: 2.9798, aux_loss: 0.0000, lr: 0.00029159, epoch_time: 610.0min
Epoch:[1/2](40000/174872), loss: 3.1554, logits_loss: 3.1554, aux_loss: 0.0000, lr: 0.00029138, epoch_time: 608.0min
Epoch:[1/2](40500/174872), loss: 2.6598, logits_loss: 2.6598, aux_loss: 0.0000, lr: 0.00029116, epoch_time: 606.0min
Epoch:[1/2](41000/174872), loss: 3.0765, logits_loss: 3.0765, aux_loss: 0.0000, lr: 0.00029095, epoch_time: 603.0min
Epoch:[1/2](41500/174872), loss: 3.0217, logits_loss: 3.0217, aux_loss: 0.0000, lr: 0.00029073, epoch_time: 601.0min
Epoch:[1/2](42000/174872), loss: 2.8467, logits_loss: 2.8467, aux_loss: 0.0000, lr: 0.00029051, epoch_time: 598.0min
Epoch:[1/2](42500/174872), loss: 2.8360, logits_loss: 2.8360, aux_loss: 0.0000, lr: 0.00029028, epoch_time: 595.0min
Epoch:[1/2](43000/174872), loss: 3.0219, logits_loss: 3.0219, aux_loss: 0.0000, lr: 0.00029005, epoch_time: 593.0min
Epoch:[1/2](43500/174872), loss: 3.2582, logits_loss: 3.2582, aux_loss: 0.0000, lr: 0.00028982, epoch_time: 591.0min
Epoch:[1/2](44000/174872), loss: 2.8427, logits_loss: 2.8427, aux_loss: 0.0000, lr: 0.00028959, epoch_time: 589.0min
Epoch:[1/2](44500/174872), loss: 3.0708, logits_loss: 3.0708, aux_loss: 0.0000, lr: 0.00028936, epoch_time: 586.0min
Epoch:[1/2](45000/174872), loss: 2.6316, logits_loss: 2.6316, aux_loss: 0.0000, lr: 0.00028912, epoch_time: 584.0min
